BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
25,1,28,28,0,33,"8,429.5","8,631","8,660","211,189.5","596,299"
26,1,29,29,0,16,"10,145.5","10,382","10,415","203,791","583,515"
27,1,30,30,0,47,"7,017.5","7,259","7,319.5","161,203.5","539,563.5"
28,1,31,31,0,22,"8,714.5","8,964.5","9,061","142,420","521,025.5"
29,1,32,32,0,21,"8,422.5","8,627.5","8,690","124,763.5","502,808.5"
30,1,33,33,0,31,"10,317","10,538","10,580.5","96,636","479,807"
31,1,34,34,0,85,"4,547.5","4,737.5","4,854.5","38,721","408,068"
32,1,35,35,0,48,"2,804.5","3,036","3,076","22,297.5","389,649.5"
33,1,36,36,0,50,"7,531","7,786","7,814","11,436","346,615"
34,1,37,37,0,26,"3,021","3,240","3,314","7,359","330,867.5"
35,1,38,38,0,25,"4,611.5","4,826.5","4,889","9,108.5","313,624"
36,1,39,39,0,73,"5,189","5,548.5","5,646","16,014","244,553.5"
37,1,40,40,0,122,"2,176.5","2,458.5","2,538","5,621.5","126,216"
38,1,41,41,0,35,"3,588","3,836","3,993","13,759","96,122"
39,1,42,42,0,206,"4,158.5","4,399.5","4,417.5","7,507.5","23,845.5"
40,1,43,43,0,50,"5,623","5,849","5,898.5","14,569","29,609"
41,1,44,44,0,72,"3,300.5","3,498","3,539.5","10,881","16,878.5"
42,1,45,45,0,68,"3,545","3,702.5","3,776.5","7,788","18,242"
43,7,52,52,0,84,"11,243","11,459","11,492","17,387.5","47,034"
44,35,87,87,0,15,546.5,601,756,"5,412.5","40,496"
45,1,88,88,0,2,660.5,849.5,998,"16,584","42,440.5"
46,1,89,89,0,9,422,587.5,770,"11,423","38,959"
47,2,91,91,0,2,339,500.5,685.5,"16,895.5","41,672"
48,1,92,92,0,2,767,938.5,"1,142.5","18,738.5","44,436"
49,1,93,93,0,2,455.5,569.5,804.5,"20,210","51,186.5"
50,1,94,94,0,8,939,"1,110","1,310.5","17,195","51,936"
51,1,95,95,0,4,420.4,535,750,"20,733","53,561.6"
52,1,96,96,0,14,477.8,"1,071","1,276","13,707","46,969.2"
53,6,102,102,0,4,"1,172","1,358","1,478.5","11,545.5","49,353.5"
54,1,103,103,0,9,304,461.5,562,"13,342","47,635"
55,8,111,111,0,2,"1,048","1,237.5","1,346","17,787","53,452"
56,1,112,112,0,3,337,378,584.5,"19,923.5","63,477"
57,1,113,113,0,3,515,828.5,"11,931","26,183","58,502"
58,1,114,114,1,8,216,496,"3,946.5","24,829","55,274"
59,5,119,119,0,3,730.5,909,"1,081.5","37,480.5","62,155.5"
60,3,122,122,0,18,"1,069","1,195","1,398","32,434","49,641"
61,16,137,138,1,20,"1,056","12,810","13,082","26,500","31,154"
62,1,139,139,0,25,"1,149.6","1,288","1,526","7,832","13,745.2"
