height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
197,2223335,2195688,33683,180596,196509,261023,3971511
198,2256950,2229301,27661,"101340.5",128544,"213335.5",3733604
199,2273550,2245842,22172,768276,813384,938270,3550533
200,2301258,2273003,57864,173326,187527,278405,2703987
201,2333222,2304970,5583,17320,72868,466319,2547450
202,2366837,2366837,14489,16378,208199,497009,3984456
203,2375669,2375654,54949,59663,62176,403694,2439467
204,2375655,2375655,1663,1821,"66688.5",361526,2384328
205,2375656,2375656,1116,1275,"91499.5",367447,2381229
206,2375657,2375657,30024,31553,"32138.5",206935,2210815
207,2375658,2375658,656,"862.5",22126,186826,2210078
208,2375659,2375659,294,755,18495,208121,2199986
209,2375660,2375660,19229,19440,"22226.5",106696,2101067
210,2375661,2375661,662,1214,7507,87665,2095694
211,2375662,2375662,1235,"1426.5","17923.5",98029,2102411
212,2375663,2375663,1023,"1088.5",24289,100658,2105023
213,2375664,2375664,1052,"1136.5",27698,102276,2112218
214,2375665,2375665,18501,18966,19538,65562,2069036
215,2375666,2375666,15327,15405,"18326.5",26244,2002620
216,2375671,2375671,15531,16282,"16755.5",24255,1911017
217,2375672,2375672,19758,20286,20734,31791,1896331
218,2375673,2375673,989,1619,13738,32767,1883038
219,2375674,2375674,1288,1379,12627,26002,1869372
220,2375675,2375675,4240,4362,7183,13163,1840148
221,2375676,2375676,957,1098,9017,12098,1837014
222,2375677,2375677,1297,1370,10571,17848,1839490
223,2375678,2375678,14756,15235,15967,33261,1829951
224,2375681,2375681,1263,1607,3247,21626,2535913
225,2375682,2375682,339,"818.5",7551,14678,2549115
226,2375683,2375683,21887,22193,23757,40506,2522553
227,2375684,2375684,848,"1456.5",11718,38832,2502087
228,2375685,2375685,1629,"1691.5",15365,41181,2500313
229,2375686,2375686,1575,1659,"15218.5",46671,2487127
230,2375687,2375687,1119,"1186.5",18252,44197,2478779
231,2375688,2375688,14597,14727,"16309.5","37719.5",2441997
232,2375689,2375689,21553,22939,23316,"36948.5",2391907
233,2375692,2375692,24483,25126,25633,52731,2331600
234,2375695,2375695,13471,"13973.5",14485,"23021.5",2275482
235,2375697,2375697,929,1413,4613,"27251.5",2262817
236,2375698,2375698,1423,1481,"5831.5",36330,2249835
237,2375701,2375701,5332,5496,"6405.5","30985.5",2233992
238,2375702,2375702,1389,"1564.5",7773,"27958.5",2228886
239,2375703,2375703,1035,1153,5268,26931,2231088
240,2375704,2375704,8575,"9065.5",9681,20827,2220590
241,2375705,2375705,981,"1138.5",1985,10976,2203409
242,2375706,2375706,254,759,4863,"11855.5",2199986
243,2375707,2375707,8176,"8477.5",8964,"18632.5",2192879
244,2375708,2375708,309,836,"2327.5","8033.5",2169922
245,2375709,2375709,692,891,10118,"22187.5",2154578
246,2375710,2375710,1162,1222,"2507.5","9923.5",2139446
247,2375711,2375711,1079,"1166.5",12530,22824,2101264
248,2375712,2375712,12714,"12877.5",15455,24609,2081774
249,2375713,2375713,39317,"40061.5",40539,52720,2050393
250,2375714,2375714,5997,6674,"7181.5",9177,1985695
251,2375715,2375715,3646,"4155.5",4571,10420,1969205
252,2375716,2375716,1124,"1570.5",4741,33589,1956633
253,2375717,2375717,781,"894.5",26721,38422,1954568
254,2375718,2375718,5109,"5244.5","7027.5",10240,1915344
255,2375719,2375719,1284,"1673.5",2189,6361,1909238
256,2375721,2375721,671,"759.5",3551,13238,1904356
257,2375723,2375723,2064,2503,3181,"14860.5",1895687
258,2375724,2375724,1727,1861,9816,15316,1897622
259,2375725,2375725,411,"941.5",3992,23128,1876742
260,2375726,2375726,12209,"12453.5","13095.5",18190,1879160
261,2375727,2375727,837,1454,11694,14716,1842770
262,2375728,2375728,1652,1803,6783,"10928.5",1838547
263,2375729,2375729,1607,1679,"8781.5",9997,1825009
264,2375730,2375730,1085,"1218.5",2407,14107,1815102
265,2375733,2375733,16080,16216,17640,"27975.5",1787662
266,2375735,2375735,5934,6435,"6876.5",22881,1771802
267,2375736,2375736,6207,"6653.5",7223,12727,1736224
268,2375737,2375737,5737,"6223.5",6600,"10129.5",1726251
269,2375738,2375738,417,"925.5",2697,"6726.5",1691901
270,2375739,2375739,1403,1534,2058,"7608.5",1690487
271,2375740,2375740,3607,3851,7598,12700,1686585
272,2375741,2375741,972,"1150.5",7309,25778,1684620
273,2375742,2375742,1413,"1591.5",7360,14096,1680431
274,2375743,2375743,2370,2875,3487,"8221.5",1656633
275,2375744,2375744,1005,1273,"3830.5",7544,1651611
