height,"5th percentile of propagation","25th percentile of propagation","50th percentile of propagation","75th percentile of propagation","95th percentile of propagation"
232,495,851,873,"1,193","1,550"
233,961,"1,314","1,772","1,825","2,148"
234,"1,572","2,038","2,139","2,168","2,291"
235,"1,079","1,462","1,589","1,630","2,154"
236,"1,135","1,563","1,701","1,776","2,134"
237,427,806,832,"1,076","1,626"
238,"1,007","1,327","1,495","1,638","1,886"
239,3,"1,341","1,767","1,813","3,863"
240,600,935,"1,006","1,231","1,600"
241,"1,081","1,511","1,817","2,250","3,054"
242,703,"1,114","1,160","1,301","1,706"
243,572,969,"1,009","1,283","1,542"
244,772,"1,194","1,498.5","25,570","28,856"
245,218,586,882,"1,721","4,973"
246,400,994,"1,087","1,124","1,431"
247,310,716,930,"1,032","1,398"
248,659,"1,018","1,047","1,215","1,605"
249,971,"1,342","1,494","1,567","1,740"
250,894,"1,288","1,298","1,487","1,883"
251,514,876,991,"1,063","1,428"
252,699,"1,085","1,227","1,234","1,711"
253,771,"1,225","1,238","1,358","1,823"
254,"1,707","2,134","2,483","2,979","2,992"
255,832,"1,246","1,477","1,590","1,872"
256,906,"1,231","1,420","1,525","1,878"
257,817,"1,258","1,326","1,474","1,922"
258,"2,870","3,252","3,353","3,388","3,843"
259,608,"1,038","1,244","1,357","1,463"
260,605,931,"1,040","1,251","1,540"
261,634,949,"1,191","2,282","2,358"
262,"1,018","1,436","1,525","1,644","2,065"
263,"1,102","1,505","1,528","1,627","2,176"
264,269,616,829,862,"1,301"
265,"1,319","1,627","1,631","1,998","2,525"
266,612,"1,066","1,237","1,357","1,738"
267,"1,397","1,807","1,947","2,084","2,257"
268,1,653,"1,040","1,306","1,630"
269,587,"1,147","1,292","1,696","1,912"
270,588,921,966,"1,190","1,645"
271,627,994,"1,703","2,014","3,797"
272,494,829,"1,086","1,162","1,411"
273,"2,794","3,321","3,655","3,663","3,963"
274,675,"1,164","1,390","1,404","1,884"
275,"3,580","4,040","4,069","4,400","4,818"
276,539,932,962,"1,015","1,373"
277,960,"1,330","1,617","1,741","2,111"
278,"1,314","1,916","2,135","2,206","2,562"
279,589,926,"1,208","1,259","1,274"
280,491,920,"1,201","1,218","1,584"
281,762,"1,201","1,229","1,352","1,750"
282,"1,046","1,378","1,449","1,663","2,034"
283,692,"1,245","1,374","1,483","2,114"
284,630,997,"1,176","1,252","1,792"
285,"1,484","1,967","2,296","2,365","2,429"
286,"1,234","1,664","1,759","1,856","2,453"
287,"1,258","1,636","1,709","1,785","2,275"
288,"1,063","1,494","1,704","1,777","2,077"
289,"1,154","1,565","1,692","2,089","2,297"
290,"1,107","1,647","1,825","1,872","2,297"
291,861,"1,432","1,568","1,649","1,654"
292,978,"1,489","1,501","1,736","2,333"
293,"1,125","1,506","1,680","1,797","2,305"
294,592,"1,040","1,121","1,190","1,809"
295,660,"1,014","1,133","1,435","1,713"
296,"1,437","1,849","2,147","8,795","13,715"
297,953,"1,200","1,538.5","2,056","7,041"
298,289,724,845,"1,292","1,565"
299,"1,030","1,445","1,452","1,560","2,262"
300,896,"1,341","1,536","1,968","2,229"
301,335,731,867,"1,246","1,515"
302,"1,021","1,403","1,560","41,060","55,761"
303,833,"1,339","2,001","6,302","20,046"
304,365,848,867,"1,338","1,538"
305,791,"1,244","1,422","1,458","1,754"
306,"1,254","1,661","1,877","2,712","2,744"
307,729,"1,103","1,405","2,353","3,437"
308,"1,258","1,657","1,670","1,971","2,320"
309,"1,491","2,042","2,164","2,194","2,301"
