height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
243,2382705,2382705,"1234.0000000000002",1378,"1785.5","2044.5","63426.69999999659"
244,2382708,2382708,"1197.6000000000001",1337,1572,1844,"60467.39999999671"
245,2382709,2382709,"1550.4000000000003",1691,1940,2393,"59576.399999996764"
246,2382710,2382710,"1278.9",1539,"1669.5",1953,"57065.799999996874"
247,2382711,2382711,"717.0000000000001","1059.5","1500.5",1886,"54918.09999999699"
248,2382712,2382712,1862,2372,24275,40295,41039
249,2382713,2382713,1001,1813,"2843.5",17651,18748
250,2382714,2382714,"1748.5000000000005",2334,"3150.5",3632,"54059.79999999724"
251,2382715,2382715,481,1378,1949,3468,29449
252,2382716,2382716,1055,1609,"2313.5",2682,18875
253,2382717,2382717,"1673.8000000000002","1829.5",2533,"2793.5","47855.99999999745"
254,2382718,2382718,504,"1215.5","1415.5",1792,"46445.399999997535"
255,2382721,2382721,847,1587,2006,"2224.5","45682.89999999755"
256,2382737,2382737,"2087.4","2311.5","3065.5",3284,"44628.799999997675"
257,2382738,2382738,"1333.0000000000002",1553,2015,"2305.5","41371.19999999783"
258,2382739,2382739,"1024.6000000000001",1358,1457,"1663.5","39463.39999999788"
259,2382748,2382748,"1884.6000000000001","2148.5","2366.5",3108,"40049.29999999798"
260,2382760,2382760,"1275.4000000000003","1513.5",1828,"2065.5","37375.499999998035"
261,2382761,2382761,"1235.3000000000002","1416.5",1490,1764,"35157.29999999812"
262,2382762,2382762,1094,1180,1836,2132,38563
263,2382763,2382763,1193,1689,1818,2038,16930
264,2382766,2382766,"1170.1000000000001",1654,2173,2497,"31240.799999998384"
265,2382767,2382767,"1618.7000000000003",1745,1964,2251,"30503.099999998434"
266,2382768,2382768,1001,"2118.5",2368,2623,"31067.299999998446"
267,2382769,2382769,"775.6000000000001",978,1492,"1673.5","27766.59999999856"
268,2382770,2382770,513,1376,1769,35327,36456
269,2382788,2382787,1334,2009,2340,10908,11621
270,2382789,2382789,"1464.4","1713.5","2311.5",2441,"23426.199999998844"
271,2382794,2382794,"1726.7000000000003","2141.5",2460,2809,"21056.39999999898"
272,2382795,2382795,666,1460,"1625.5","2042.5","19755.799999999"
273,2382798,2382798,"2039.4000000000003",2240,2567,2853,"18417.999999999123"
274,2382815,2382815,"2316.7000000000003","2924.5",3407,3753,"18895.0999999992"
275,2382818,2382818,"1595.7",2031,2427,"2664.5","14784.299999999326"
276,2382819,2382819,"1010.9000000000002","1326.5","1753.5","2512.5","16641.69999999936"
277,2382820,2382820,"1119.5000000000002","1736.5",2007,2372,"15700.199999999366"
278,2382821,2382821,1408,2174,2585,"2770.5","12973.699999999466"
279,2382822,2382822,"2197.8","2644.5","2805.5","2963.5","12633.399999999496"
280,2382829,2382829,"1055.2000000000003",1197,1577,1947,"9309.49999999961"
281,2382844,2382844,1546,1966,2503,3322,37185
282,2382845,2382845,1822,1973,2237,2561,17687
283,2382846,2382846,"1475.5000000000002","1649.5","1683.5","1964.5","5391.999999999879"
284,2382854,2382854,"898.4000000000002",1132,1844,"2173.5","3069.0999999999995"
285,2382868,2382868,1797,2063,2375,"2751.5",15057
286,2382869,2382869,1041,2065,2651,3473,6340
287,2382870,2382870,1650,1762,2439,2576,3127
288,2382871,2382871,913,1653,1714,2214,2298
289,2382872,2382872,938,1049,1300,1685,2196
290,2382893,2382893,512,1238,1383,1875,2162
291,2382894,2382894,1540,1713,1800,2259,2621
292,2382895,2382895,1066,1930,2025,2309,2746
293,2382897,2382897,2287,2336,3173,3551,3857
294,2382917,2382917,1496,2355,2496,4083,4754
295,2382918,2382918,1702,2172,2601,2807,3118
296,2382919,2382919,1285,1419,2012,2673,3976
297,2382920,2382920,1723,1835,1958,2115,19096
298,2382933,2382921,839,1663,2480,2955,4388
299,2382942,2382942,1411,1894,2261,2459,2671
300,2382943,2382943,2033,2156,2301,2387,2725
301,2382944,2382944,1332,1519,1693,1960,22971
302,2382945,2382945,678,1383,1523,2180,2635
303,2382947,2382947,905,1204,1639,1934,2169
304,2382967,2382967,1915,2035,2846,3115,36304
305,2382968,2382968,480,1302,1792,2041,15613
306,2382969,2382969,1475,1626,1851,2128,2303
307,2382970,2382970,1524,1720,1936,2200,2426
308,2382991,2382991,1418,1922,2362,2495,3373
309,2382992,2382992,519,1428,1512,1834,2726
310,2382993,2382993,1197,1902,2215,2370,2477
311,2382994,2382994,1196,1363,2069,2151,2208
312,2382995,2382995,874,1636,1841,2381,2640
313,2383016,2383016,937,1232,1598,1784,2122
314,2383017,2383017,1320,1594,1991,2200,2618
315,2383018,2383018,1039,1411,1913,32507,33623
316,2383031,2383029,"538.3000000000001",1446,"3122.5",7255,8548
317,2383040,2383040,1645,2611,3144,3501,4202
318,2383041,2383041,2001,2360,2512,3050,4696
319,2383042,2383042,1561,1882,2039,2466,2624
320,2383043,2383043,1533,1744,1792,2019,2253
321,2383049,2383049,1531,1820,2406,2603,2796
322,2383065,2383065,1376,1639,1783,2004,3908
323,2383066,2383066,1859,1976,2320,2471,2636
324,2383067,2383067,1068,1228,1319,1403,1838
325,2383073,2383073,1657,1870,2026,2332,2613
326,2383089,2383089,1495,1641,2044,2280,2520
327,2383090,2383090,1180,1938,2466,4184,6514
328,2383091,2383091,1067,1316,1800,2083,2410
329,2383092,2383092,756,1163,1660,1751,2029
330,2383094,2383094,1339,1508,1785,2178,2598
331,2383114,2383114,1102,2005,2169,2575,3679
