height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
644,2383687,2383687,"1456.8000000000002","1673.5","1870.5",2131,"2319.099999999998"
645,2383688,2383688,"1334.5","1517.5",1570,1963,"2131.2999999999984"
646,2383709,2383709,"602.5000000000001",724,"922.5",1004,"1391.3999999999992"
647,2383710,2383710,"1124.3","1327.5","1396.5","1529.5","1948.8999999999958"
648,2383711,2383711,"1552.7",1780,1890,"2040.5","2203.0999999999995"
649,2383732,2383732,"439.40000000000015",880,1112,1353,"1604.8999999999996"
650,2383733,2383733,1830,1959,2359,"2425.5","2764.0999999999967"
651,2383734,2383734,"907.0000000000001","1129.5",1218,1395,"1611.6999999999996"
652,2383742,2383742,"1219.9","1414.5","1488.5",1586,"1868.699999999998"
653,2383754,2383754,824,1082,1256,1510,"1678.1999999999985"
654,2383757,2383757,340,828,1143,1278,"1705.5999999999997"
655,2383767,2383767,"887.4000000000001",1222,1470,1620,"1774.7999999999993"
656,2383779,2383779,"1155.2",1323,1493,1633,"1982.9999999999995"
657,2383780,2383780,"1333.8",1520,1621,1925,"2283.399999999997"
658,2383781,2383781,"1228.8000000000002",1395,1471,1813,"2000.799999999998"
659,2383782,2383782,"1185.2",1316,1794,1914,"2257.599999999999"
660,2383803,2383803,"1054.8000000000002",1197,1450,1689,"1831.9999999999995"
661,2383804,2383804,"1525.4",1752,1972,2169,"2336.7999999999997"
662,2383821,2383821,"438.8000000000001",987,1108,1420,"1650.1999999999998"
663,2383826,2383826,"871.4000000000001",1075,1415,1517,"1632.7999999999997"
664,2383827,2383827,"1256.6000000000001",1434,1594,1773,3222
665,2383828,2383828,"661.2000000000002",792,1285,1457,"1532.7999999999993"
666,2383849,2383849,"3157.7","3323.5",3447,"3578.5","8136.9999999997635"
667,2383850,2383850,"815.7",888,"985.5",1267,"3205.9999999999072"
668,2383856,2383856,1641,2004,2163,2323,"2387.1999999999994"
669,2383872,2383872,"1146.4",1428,1755,2040,"2343.399999999997"
670,2383873,2383873,"1282.8000000000002",1429,1518,1606,"1864.1999999999998"
671,2383874,2383874,"1096.2",1284,1358,1633,"1798.5999999999988"
672,2383875,2383875,"1082.8000000000002",1284,1350,1668,"2381.5999999999976"
673,2383896,2383896,"564.4000000000001",749,855,1023,"1499.5999999999963"
674,2383917,2383917,779,1337,1471,1727,"2029.599999999998"
675,2383918,2383918,"1070.8000000000002",1242,1340,1548,"1827.7999999999988"
