height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
127,"50,783","48,122","7,441","23,033","32,695","56,731","171,935"
128,"53,903","53,903","7,847.8","13,454","18,109.5","50,408","167,486.6"
129,"58,601","58,601","9,757","16,452","20,919","40,878","143,762"
130,"61,976","58,625","3,927","10,615","14,767","18,638","105,335"
131,"70,265","70,265","13,843.4","14,888","18,138.5","25,857","114,164.4"
132,"72,792","72,792","14,546","31,886","99,633.5","157,886","222,710"
133,"79,344","76,917","16,338","40,133.5","97,987","142,302","201,332"
134,"84,626","82,150","19,757.5","49,730.5","91,503","123,600.5","195,257.5"
135,"94,668","86,810","16,118","33,757","81,289","109,113","198,798"
136,"97,901","96,957","13,089","56,597","74,742.5","105,296","193,784"
137,"109,988","98,166","9,659","17,784","21,325","51,841","134,596"
138,"127,691","122,978","9,350","15,525","21,818.5","39,675","130,792"
139,"129,710","128,069","10,896","58,712","228,957.5","423,606","716,444"
140,"150,036","140,023","15,322","124,269","279,303","419,594","693,799"
141,"178,257","155,332","48,730","139,000","219,536","379,560","628,306"
142,"186,549","169,636","11,139","97,646","215,072","334,388","573,555.6"
143,"199,457","194,164","18,033","103,434","175,372","307,262","505,064"
144,"211,542","203,909","5,831","57,308.5","137,515","277,552.5","599,301.8"
145,"216,064","216,064","8,867.4","42,763","90,003","281,617","550,240.6"
146,"229,243","229,243","12,279.3","49,298","136,893","263,456","543,635.7"
147,"258,716","258,716","17,065.6","46,976","115,368","179,912","530,575.4"
148,"272,872","272,872","9,737","29,201","51,843","133,497","403,612"
149,"273,286","273,286","12,476.6","36,153","76,152","152,496","384,645.4"
150,"300,507","300,507","38,342","66,633","127,185","158,989","2,854,296"
151,"319,496","319,496","16,148","44,103","115,903","278,768","3,037,656"
152,"378,653","323,732","8,290","55,333.5","122,951.5","434,394","2,878,051.5"
153,"332,557","325,215","18,829","129,717","304,149","467,905","1,988,179.2"
154,"405,045","337,637","17,776","136,206.5","262,492","515,095","1,114,461"
155,"440,156","413,881","18,120","148,624","301,910","491,851","2,082,631"
156,"479,749","446,256","9,191","94,103","150,024","359,029","2,268,265"
157,"495,782","478,630","10,010.2","152,435","261,112.5","449,094","2,042,459.1"
158,"551,234","524,282","15,916.5","108,061","247,052","408,454","1,873,765.2"
159,"603,064","561,934","10,573","111,975","175,974","501,897","2,425,383"
160,"644,471","620,453","14,336.8","89,304","138,997","538,648","1,747,946.8"
161,"705,875","683,425","14,990.6","76,009","197,218","463,030","2,130,072"
162,"731,520","731,520","8,721","144,298","213,021","321,816","2,137,105"
163,"847,947","783,623","23,978","90,070","129,449","272,344","1,116,423"
164,"855,456","791,756","16,533","111,583","387,499","696,554","1,798,262"
165,"883,282","864,585","42,221.4","104,862","360,361","818,760","1,439,189.4"
166,"959,312","950,195","19,263","277,688","522,904","842,971","1,670,079"
167,"1,079,710","1,050,083","26,101","146,862","358,115","876,300","1,577,205"
168,"1,214,193","1,098,763","25,889.9","185,098.5","390,626","1,072,094","1,566,424.2"
169,"1,239,315","1,156,092","14,860","105,324","247,760","1,035,757","1,317,528.2"
170,"1,290,575","1,240,096","21,350.1","103,427","448,894","1,030,198","1,520,440.2"
171,"1,425,058","1,374,579","22,091","154,793","725,536","1,097,749.5","1,945,987"
172,"1,559,540","1,490,374","23,657","193,881","523,774","888,729","1,935,762"
173,"1,642,487","1,614,159","50,169","126,782","345,639","622,666","1,392,940"
174,"1,748,642","1,684,791","16,793.4","81,755","153,994","469,217","1,379,121.2"
175,"1,819,684","1,756,695","2,557","51,877","263,165.5","489,563","1,370,683"
176,"1,891,178","1,891,177","33,407","141,918","284,630","547,814","1,366,895"
177,"2,025,660","1,941,982","21,166","68,630","116,003","268,616","1,102,550"
178,"2,068,229","2,016,361","28,914","67,263","99,308","209,745","1,011,047"
179,"2,129,580","2,115,427","15,928","72,336","176,699","437,986","1,310,267"
180,"2,249,910","2,167,005","25,081.9","55,511","120,521.5","383,073.5","1,156,431.3"
181,"2,301,488","2,289,090","20,636","83,076","163,364","254,879","711,172"
182,"2,360,621","2,337,033","8,232","18,345","36,527","159,463","546,523"
183,"2,355,088","2,348,125","5,130","18,203","21,465","48,170","435,355"
184,"2,382,506","2,382,506","8,806.5","13,478.5","16,794.5","42,636","466,332.2"
185,"2,382,507","2,382,507","2,476","3,589","5,418","40,999","493,582.6"
186,"2,382,508","2,382,508","2,236.8","3,432","5,827","31,334","480,159"
187,"2,382,510","2,382,510","3,595.2","5,116","14,955","25,251","310,214.2"
188,"2,382,511","2,382,511","1,612.6","3,742","9,202","18,244","302,826.6"
189,"2,382,512","2,382,512","3,412.4","4,625","5,672","8,933","425,987"
190,"2,382,513","2,382,513","2,041.4","2,643","3,508","7,131","421,401.6"
191,"2,382,514","2,382,514","4,188.6","4,653","5,388","6,137","407,245.8"
192,"2,382,515","2,382,515","2,129.6","2,814","3,653","5,134","402,585.2"
193,"2,382,516","2,382,516","6,290","7,025","7,795","9,217","385,161.4"
194,"2,382,521","2,382,521","1,727.2","2,011","2,166","2,703","356,068.6"
195,"2,382,526","2,382,526","828.8","1,167","1,290","2,366","341,576"
196,"2,382,529","2,382,529","2,788.6","3,070","3,187","3,903","318,982"
197,"2,382,531","2,382,531","1,662.8","1,990","2,613","3,121","314,311.4"
198,"2,382,533","2,382,533","1,696.4","1,982","2,662","3,290","286,584.6"
199,"2,382,535","2,382,535",925,"1,251","1,611","1,983","273,793.6"
200,"2,382,536","2,382,536","1,009.6","1,819","1,970","2,590","259,048.2"
201,"2,382,537","2,382,537","1,202.6","1,467","1,596","1,836","241,310"
202,"2,382,538","2,382,538","790.4","1,071","1,378","1,718","225,566.8"
203,"2,382,539","2,382,539","1,450.4","1,785","1,925","2,759","210,811.8"
204,"2,382,540","2,382,540","1,445.4","1,676","1,815","2,196","199,183"
205,"2,382,541","2,382,541",897,"1,672","2,024","2,246","190,806.4"
206,"2,382,542","2,382,542","1,506.4","1,785","1,921","2,857","169,107.4"
207,"2,382,543","2,382,543","1,459.6","1,758","2,290","2,572","159,297.4"
208,"2,382,544","2,382,544","2,136.2","2,513","2,896","3,208","135,528.6"
209,"2,382,545","2,382,545","1,091.6","1,359","1,691","2,166","114,714.4"
210,"2,382,546","2,382,546","1,301.6","1,651","1,814","1,947","108,907.8"
211,"2,382,547","2,382,547","1,487.2","1,727","1,941","2,381","103,701.8"
212,"2,382,548","2,382,548","920.6","1,169","1,264","1,652","91,221.4"
213,"2,382,549","2,382,549","1,608.6","2,076","2,199","2,359","88,825.6"
214,"2,382,550","2,382,550","977.2","1,261","1,810","2,028","85,938.8"
215,"2,382,551","2,382,551","963.6","1,301","1,790","1,947","82,619.2"
216,"2,382,552","2,382,552","695.6",874,"1,387","1,716","78,246.6"
217,"2,382,553","2,382,553","1,320","1,640","1,761","1,973","74,504"
218,"2,382,554","2,382,554","1,765","1,871","1,977.5","2,609.5","21,808"
219,"2,382,555","2,382,555",576,"1,141","1,274","1,700","12,100"
220,"2,382,556","2,382,556","1,479.2","1,729","2,123","2,537","69,044.6"
221,"2,382,563","2,382,563","1,086.4","1,360","1,717","2,041","62,415.4"
222,"2,382,564","2,382,564",761,"1,427","1,655","1,946","62,044"
223,"2,382,565","2,382,565","1,603","1,868","2,003","2,396","56,967.4"
224,"2,382,566","2,382,566","1,123","1,755","2,480","2,691","53,689"
225,"2,382,585","2,382,585","1,953","2,393","2,928","3,326","53,150.8"
226,"2,382,589","2,382,589","1,320.6","1,687","2,022","2,164","46,661.8"
227,"2,382,590","2,382,590","1,214.6","1,646","2,077","2,381","46,432.8"
228,"2,382,591","2,382,591","1,065","1,372","1,460","1,804","45,386"
229,"2,382,592","2,382,592","1,480.8","1,694","1,785","1,972","41,312"
230,"2,382,606","2,382,606","1,727.6","2,011","2,201","2,526","38,711.6"
231,"2,382,607","2,382,607","1,363.4","1,514","2,201","2,424","36,563.8"
232,"2,382,608","2,382,608","1,797.4","1,978","2,209","2,521","29,507.6"
233,"2,382,609","2,382,609","1,240.5","1,631","2,170","30,294","31,291.8"
234,"2,382,617","2,382,617","1,201.9","1,594.5","2,494.5","9,727","10,820.7"
235,"2,382,618","2,382,618","1,378.8","1,751","2,042","2,517","22,567.6"
236,"2,382,619","2,382,619","1,575","1,769","1,966","2,124","20,641.6"
237,"2,382,620","2,382,620","1,641","1,921","2,353","2,856","17,833.2"
238,"2,382,634","2,382,634","807.8","1,173","1,477","1,789","12,392"
239,"2,382,642","2,382,642","1,415.6","1,884","2,132","2,637","11,296.2"
240,"2,382,643","2,382,643","1,621.2","1,814","2,406","2,773","6,910.2"
241,"2,382,644","2,382,644","959.2","1,250","1,403","1,723","3,715.8"
242,"2,382,645","2,382,645","1,880.4","2,079","2,542","2,889","3,291.4"
243,"2,382,666","2,382,666","2,040","2,904","3,458","3,685","18,061"
244,"2,382,667","2,382,667",895,"1,986","2,309","2,713","3,257"
245,"2,382,668","2,382,668","1,614.8","1,898","2,142","2,534","3,104.4"
246,"2,382,669","2,382,669","1,349.5","1,669","1,819.5","1,936","2,351.9"
247,"2,382,670","2,382,670","1,630.2","2,064","2,222","2,313","7,258.2"
248,"2,382,691","2,382,691","1,526","2,061","2,570","2,768","3,120.2"
249,"2,382,692","2,382,692","2,587.2","2,875","3,540.5","3,820","4,608.5"
250,"2,382,693","2,382,693","1,326.8","1,625","2,096.5","2,303","2,555.8"
251,"2,382,694","2,382,694","1,497.9","1,832","2,449","2,564","2,829.6"
252,"2,382,715","2,382,715","1,084.9","1,405","1,501.5","1,766","2,107.4"
253,"2,382,716","2,382,716","1,438.6","1,695","1,815","2,282","2,627.6"
254,"2,382,717","2,382,717","1,334","1,583","1,796","2,023","2,965.6"
255,"2,382,718","2,382,718","1,024.6","1,397","1,489","1,711","2,080.4"
256,"2,382,729","2,382,729","1,166.6","1,997","2,257","2,451","2,834"
257,"2,382,740","2,382,740","1,014","1,352","1,748","2,029","2,478.4"
258,"2,382,741","2,382,741","1,178.8","1,379","2,059","2,579","3,694.8"
259,"2,382,742","2,382,742","1,093.8","1,410","1,831","2,085","2,260.6"
260,"2,382,743","2,382,743",734,"1,527","1,636","1,779","2,080.6"
261,"2,382,760","2,382,760","951.6","1,182","1,952","2,263","3,419.4"
262,"2,382,765","2,382,765","1,310.4","1,534","1,696","2,381","3,321.8"
263,"2,382,766","2,382,766","1,501.8","1,733","1,914","2,186","2,589.6"
264,"2,382,767","2,382,767","1,539.2","1,752","1,889","1,961","2,270.7"
265,"2,382,768","2,382,768","972.9","1,186.5","1,541.5","1,846.5","3,028"
266,"2,382,782","2,382,782","1,016","1,888","2,029","2,218.5","2,701.8"
267,"2,382,790","2,382,790","1,454.4","1,570.5","1,981.5","2,328","2,588.4"
268,"2,382,791","2,382,791","1,427","2,098","2,332","34,185","36,746"
269,"2,382,792","2,382,792","1,641","2,177","2,565","3,762","6,146"
270,"2,382,798","2,382,798","1,335","1,627","2,004","2,395","41,101"
271,"2,382,814","2,382,814","1,003","1,509","1,735","1,980","16,466"
272,"2,382,815","2,382,815","1,604.1","1,952.5","2,374","2,634.5","2,936.3"
273,"2,382,816","2,382,816",768,"1,605","1,685","2,064","20,272"
274,"2,382,825","2,382,822","1,361","2,239","2,324","2,807","3,721"
275,"2,382,838","2,382,838","1,050.6","1,313","1,481.5","1,812","2,287.8"
276,"2,382,839","2,382,839","1,241.5","1,553","2,046","2,509","4,131.1"
277,"2,382,840","2,382,840",789,"1,465.5","1,555","1,787.5","1,995.8"
278,"2,382,841","2,382,841","1,497.2","1,674.5","1,944","2,458.5","2,698.6"
279,"2,382,862","2,382,862","983.5","1,185","1,791.5","2,120.5","3,515.6"
280,"2,382,863","2,382,863","1,130.6","1,401","1,572","1,836","2,719.5"
281,"2,382,864","2,382,864","913.2","1,013","1,098.5","1,310","1,644.7"
282,"2,382,865","2,382,865","820.4","1,118","1,179","1,622","2,016.9"
283,"2,382,875","2,382,875","1,599.3","1,940","2,057.5","2,811.5","4,356.8"
284,"2,382,887","2,382,887","1,148","1,784","1,972.5","2,122","2,495.7"
285,"2,382,888","2,382,888","1,755.9","2,087.5","2,260.5","2,376.5","3,437.5"
286,"2,382,889","2,382,889","1,710","1,805","2,270","2,446","3,139"
287,"2,382,890","2,382,890","1,382","1,661","1,978","2,204","2,600"
288,"2,382,911","2,382,911","1,875.7","2,084.5","2,764","2,997","3,593.3"
289,"2,382,912","2,382,912","936.9","1,120.5","1,337.5","1,390.5","1,926.6"
290,"2,382,913","2,382,913","1,081.5","1,264","1,400","1,880","2,353.8"
291,"2,382,914","2,382,914","1,220.9","1,543","2,038","2,159.5","2,285.4"
292,"2,382,918","2,382,918","1,131.8","1,300","1,465.5","1,643","1,979"
293,"2,382,936","2,382,936",384,"1,292","1,415","2,194.5","3,693.8"
294,"2,382,937","2,382,937",427,"1,115","1,223","1,574.5","2,082.8"
295,"2,382,938","2,382,938","1,507","1,772","1,892","2,351","2,827"
296,"2,382,943","2,382,939","1,530","1,955","2,148","2,405","2,857"
297,"2,382,960","2,382,960","1,431.9","1,699.5","2,184.5","2,476.5","2,808.4"
298,"2,382,961","2,382,961","1,075.6","1,269.5","1,438","1,666","2,136.8"
299,"2,382,962","2,382,962","1,347.8","1,621.5","2,135.5","22,174.5","22,374.1"
300,"2,382,963","2,382,963",374,"1,139","1,459","8,859","9,518.6"
